card,turns
Violet Teacher,8
Voidcaller,8
Water Elemental,8
Wild Pyromancer,8
Windspeaker,8
Abomination,9
Acolyte of Pain,9
Ancient Mage,9
Argent Commander,9
Armorsmith,9
Avenging Wrath,9
Azure Drake,9
Baron Geddon,9
Bite,9
Bloodmage Thalnos,9
Boulderfist Ogre,9
Captain's Parrot,9
Darkscale Healer,9
Dread Infernal,9
Earth Elemental,9
Faceless Manipulator,9
Far Sight,9
Fen Creeper,9
Fire Elemental,9
Frostwolf Warlord,9
Gadgetzan Auctioneer,9
Gnomish Inventor,9
Gurubashi Berserker,9
Haunted Creeper,9
Hogger,9
Illidan Stormrage,9
Imp Master,9
Keeper of the Grove,9
Kidnapper,9
Kill Command,9
Lord of the Arena,9
Mana Tide Totem,9
Mortal Strike,9
Nerub'ar Weblord,9
Novice Engineer,9
Oasis Snapjaw,9
Patient Assassin,9
Perdition's Blade,9
Priestess of Elune,9
Savannah Highmane,9
Sludge Belcher,9
Spectral Knight,9
Spiteful Smith,9
Stampeding Kodo,9
Swipe,9
Sylvanas Windrunner,9
Temple Enforcer,9
The Beast,9
Tundra Rhino,9
Unstable Ghoul,9
Venture Co. Mercenary,9
Ancient of Lore,10
Ancient of War,10
Arcane Intellect,10
Arcanite Reaper,10
Archmage,10
Archmage Antonidas,10
Cabal Shadow Priest,10
Cairne Bloodhoof,10
Commanding Shout,10
Core Hound,10
Dalaran Mage,10
Force of Nature,10
Guardian of Kings,10
Hammer of Wrath,10
Headcrack,10
Hellfire,10
Holy Wrath,10
Mindgames,10
Prophet Velen,10
Ragnaros the Firelord,10
Ravenholdt Assassin,10
Shiv,10
Silverback Patriarch,10
Stoneskin Gargoyle,10
Stormwind Champion,10
Sunwalker,10
The Black Knight,10
War Golem,10
Wild Growth,10
Windfury Harpy,10
Al'Akir the Windlord,11
Arcane Shot,11
Baron Rivendare,11
Claw,11
Drain Life,11
Fiery War Axe,11
Frost Elemental,11
Gelbin Mekkatorque,11
Gorehowl,11
Grommash Hellscream,11
Gruul,11
Holy Smite,11
Ironbark Protector,11
King Krush,11
Maexxna,11
Mogu'shan Warden,11
Starfire,11
Tirion Fordring,11
Truesilver Champion,11
Alexstrasza,12
Cenarius,12
Consecration,12
Divine Favor,12
Eaglehorn Bow,12
Gladiator's Longbow,12
Nat Pagle,12
Nozdormu,12
Onyxia,12
Pyroblast,12
Sprint,12
Thoughtsteal,12
Tracking,12
Fan of Knives,13
Malygos,13
Sea Giant,13
Sense Demons,13
Ysera,13
Assassin's Blade,14
Bane of Doom,14
Lay on Hands,14
Mass Dispel,15
Stormforged Axe,16
Doomhammer,18
Lord Jaraxxus,18
Shield Block,19
Frost Shock,26
Moonfire,26
Void Terror,27
Deathwing,29
Light's Justice,29
Sword of Justice,29
Stormpike Commando,31
Molten Giant,32
Alarm-o-Bot,34
Ancestral Healing,34
Ancestral Spirit,34
Ancient Brewmaster,34
Ancient Watcher,34
Arcane Explosion,34
Assassinate,34
Backstab,34
Battle Rage,34
Bestial Wrath,34
Betrayal,34
Blade Flurry,34
Blessed Champion,34
Blessing of Kings,34
Blessing of Might,34
Blessing of Wisdom,34
Blizzard,34
Blood Imp,34
Bloodlust,34
Brawl,34
Charge,34
Circle of Healing,34
Cleave,34
Cold Blood,34
Conceal,34
Cone of Cold,34
Corruption,34
Counterspell,34
Deadly Poison,34
Deadly Shot,34
Demonfire,34
Divine Spirit,34
Doomsayer,34
Duplicate,34
Earth Shock,34
Elven Archer,34
Equality,34
Execute,34
Explosive Shot,34
Explosive Trap,34
Eye for an Eye,34
Flamestrike,34
Forked Lightning,34
Freezing Trap,34
Frost Nova,34
Hand of Protection,34
Healing Touch,34
Hex,34
Holy Fire,34
Holy Light,34
Holy Nova,34
Humility,34
Hunter's Mark,34
Ice Barrier,34
Ice Block,34
Inner Fire,34
Inner Rage,34
Innervate,34
Leeroy Jenkins,34
Lightning Storm,34
Lorewalker Cho,34
Mark of Nature,34
Mark of the Wild,34
Mind Control,34
Mirror Entity,34
Mirror Image,34
Misdirection,34
Mortal Coil,34
Multi-Shot,34
Naturalize,34
Nerubian Egg,34
Noble Sacrifice,34
Nourish,34
Polymorph,34
Poison Seeds,34
Power of the Wild,34
Power Overwhelming,34
Power Word: Shield,34
Preparation,34
Rampage,34
Redemption,34
Reincarnate,34
Repentance,34
Sacrificial Pact,34
Sap,34
Savage Roar,34
Savagery,34
Shadow Bolt,34
Shadow Madness,34
Shadow Word: Death,34
Shadow Word: Pain,34
Shadowflame,34
Shadowform,34
Shadowstep,34
Shield Slam,34
Shieldbearer,34
Silence,34
Siphon Soul,34
Slam,34
Snake Trap,34
Snipe,34
Soul of the Forest,34
Spellbender,34
Starfall,34
Summoning Portal,34
Totemic Might,34
Twisting Nether,34
Unleash the Hounds,34
Vanish,34
Vaporize,34
Whirlwind,34
Windfury,34
Wrath,34
Youthful Brewmaster,34
Lightwell,35
